userId,movieId,rating,timestamp
1,1,4.0,964982703
1,3,4.0,964981247
1,6,4.0,964982224
1,47,5.0,964983815
1,50,5.0,964982931
1,70,3.0,964982400
1,101,5.0,964980868
1,110,4.0,964982176
1,151,5.0,964984041
1,157,5.0,964984100
1,163,5.0,964983650
1,216,5.0,964981208
1,223,3.0,964980985
1,231,5.0,964981179
1,235,4.0,964980908
1,260,5.0,964981680
1,296,3.0,964982967
3,31,0.5,1306463578
4,21,3.0,986935199
4,32,2.0,945173447
4,45,3.0,986935047
4,47,2.0,945173425
4,52,3.0,964622786
4,58,3.0,964538444
4,106,4.0,986848784
4,125,5.0,964622758
4,126,1.0,986848920
4,162,5.0,945078571
4,171,3.0,945078428
4,176,5.0,964622565
4,190,2.0,945079259
4,215,5.0,945079078
4,222,1.0,945629040
4,232,5.0,964622684
4,235,2.0,945173513
4,247,3.0,986848894
4,260,5.0,945079259
4,265,5.0,964538468
4,296,1.0,945173350
5,1,4.0,847434962
5,21,4.0,847435238
5,34,4.0,847434881
5,36,4.0,847435292
5,39,3.0,847434961
5,50,4.0,847434881
5,58,5.0,847435238
5,110,4.0,847434880
5,150,3.0,847434748
5,153,3.0,847434802
5,232,4.0,847435292
5,247,5.0,847435337
5,253,3.0,847435292
5,261,4.0,847435238
5,265,3.0,847435129
5,266,1.0,847435311
5,290,5.0,847435311
5,296,5.0,847434748
5,300,3.0,847435337
6,2,4.0,845553522
6,3,5.0,845554296
6,4,3.0,845554349
6,5,5.0,845553938
6,6,4.0,845553757
6,7,4.0,845554264
6,8,3.0,845555281
6,10,3.0,845553253
6,11,4.0,845553489
6,13,3.0,845555588
6,15,4.0,845554505
6,16,4.0,845553819
6,17,4.0,845553559
6,19,2.0,845553382
6,21,2.0,845553382
6,22,5.0,845553875
6,24,4.0,845554397
6,25,3.0,845553695
6,26,4.0,845555362
6,27,3.0,845555402
6,31,3.0,845553819
6,32,4.0,845553426
6,34,4.0,845553354
6,36,5.0,845553726
6,41,4.0,845554962
6,43,4.0,845555607
6,45,3.0,845553907
6,46,4.0,845554551
6,47,4.0,845553317
6,50,1.0,845553381
6,54,4.0,845555402
6,60,4.0,845554263
6,61,4.0,845555454
6,62,4.0,845553660
6,65,3.0,845555070
6,66,3.0,845555151
6,76,4.0,845555317
6,79,3.0,845554907
6,86,5.0,845556131
6,87,3.0,845555300
6,88,2.0,845555694
6,89,4.0,845555124
6,92,4.0,845555454
6,93,4.0,845554584
6,95,4.0,845553559
6,100,3.0,845555151
6,102,1.0,845555436
6,104,4.0,845554349
6,105,3.0,845553757
6,110,5.0,845553283
6,112,4.0,845553994
6,113,3.0,845556257
6,126,3.0,845555342
6,135,3.0,845554987
6,140,3.0,845555024
6,141,4.0,845553586
6,145,4.0,845553966
6,146,4.0,845555607
6,150,4.0,845553110
6,151,4.0,845553586
6,153,3.0,845553146
6,158,4.0,845553660
6,159,3.0,845555006
6,160,5.0,845553457
6,161,3.0,845553253
6,163,3.0,845553907
6,165,3.0,845553146
6,168,5.0,845553695
6,170,3.0,845554263
6,171,3.0,845555402
6,174,3.0,845554479
6,177,3.0,845554931
6,179,1.0,845555362
6,180,2.0,845555006
6,181,3.0,845553938
6,185,3.0,845553283
6,186,3.0,845553619
6,189,3.0,845556241
6,191,2.0,845554931
6,195,4.0,845554455
6,196,3.0,845553586
6,201,3.0,845556290
6,204,3.0,845553619
6,205,3.0,845555477
6,207,4.0,845554024
6,208,3.0,845553253
6,209,3.0,845556106
6,210,4.0,845556310
6,212,4.0,845556181
6,216,4.0,845554099
6,217,3.0,845555382
6,218,2.0,845553994
6,219,3.0,845556131
6,222,4.0,845554024
6,224,3.0,845553794
6,225,4.0,845553381
6,230,5.0,845553966
6,231,3.0,845553174
6,234,2.0,845554176
6,236,4.0,845553559
6,237,4.0,845553875
6,239,3.0,845554987
6,240,3.0,845555571
6,243,3.0,845555588
6,248,5.0,845554263
6,250,4.0,845555588
6,251,3.0,845556257
6,252,4.0,845553619
6,253,3.0,845553283
6,254,3.0,845555655
6,256,3.0,845553726
6,257,5.0,845554176
6,258,3.0,845555172
6,261,4.0,845553695
6,262,5.0,845554551
6,265,3.0,845553726
6,266,3.0,845553457
6,267,3.0,845554376
6,270,3.0,845555172
6,271,4.0,845555249
6,273,3.0,845553875
6,274,4.0,845555151
6,276,4.0,845553907
6,277,5.0,845553844
6,279,3.0,845555436
6,281,4.0,845554320
6,282,3.0,845553522
6,288,2.0,845553283
6,289,3.0,845554455
6,291,3.0,845555571
6,292,4.0,845553253
6,293,3.0,845553660
6,296,2.0,845553110
7,1,4.5,1106635946
7,50,4.5,1106635993
7,58,3.0,1106635520
7,150,4.5,1106635925
7,165,4.0,1106635987
7,260,5.0,1106635933
8,2,4.0,839463806
8,10,2.0,839463509
8,11,4.0,839463806
8,21,4.0,839463564
8,32,3.0,839463624
8,34,5.0,839463546
8,39,3.0,839463644
8,47,4.0,839463546
8,50,5.0,839463644
8,110,3.0,839463527
8,141,3.0,839464076
8,150,4.0,839463422
8,153,2.0,839463451
8,185,5.0,839463509
8,186,4.0,839463856
8,208,3.0,839463509
8,231,4.0,839463470
8,235,3.0,839464076
8,236,3.0,839463767
8,252,3.0,839463856
8,253,5.0,839463509
8,282,3.0,839463767
8,292,3.0,839463489
8,296,4.0,839463422
9,41,3.0,1044656650
9,187,3.0,1044657119
9,223,4.0,1044656650
10,14,5.0,1455356776
11,6,5.0,902154266
11,10,3.0,902154316
11,36,4.0,902155135
11,44,2.0,902154593
11,95,3.0,902154458
11,110,5.0,902154266
11,150,5.0,902154266
11,153,3.0,902154593
11,165,3.0,902154567
11,170,4.0,902154621
11,208,3.0,902154706
11,292,4.0,902154383
12,39,4.0,1247264471
12,168,5.0,1247264411
12,222,5.0,1247263465
12,256,5.0,1247263375
12,261,4.5,1247263357
12,277,3.0,1247263371
13,47,5.0,987895819
13,300,1.0,987456968
14,4,3.0,835441653
14,7,3.0,835441989
14,19,1.0,835441168
14,25,4.0,835441394
14,32,4.0,835441168
14,39,3.0,835441186
14,47,5.0,835441133
14,95,5.0,835441295
14,105,3.0,835441371
14,110,5.0,835441107
14,150,4.0,835440977
14,153,2.0,835441012
14,193,3.0,835441371
14,231,3.0,835441042
14,266,5.0,835441168
14,282,5.0,835441239
14,288,4.0,835441107
14,296,3.0,835440978
15,1,2.5,1510577970
15,44,1.0,1299424916
15,47,3.5,1510571970
15,158,1.0,1299424840
15,172,1.0,1299424762
15,256,3.0,1299425021
15,260,5.0,1510571946
15,293,3.0,1510571962
15,296,4.0,1510571877
16,47,3.5,1377477814
16,50,4.0,1377476781
16,111,4.5,1377477446
16,204,2.0,1377476617
16,260,3.0,1377476936
16,293,4.0,1377477870
16,296,3.0,1377477302
17,1,4.5,1305696483
17,44,3.5,1305696245
17,47,4.0,1307262715
